Salary,NBA_DraftNumber,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
16000000,3,37,74,1753,19,0.54,0.189,0.331,7.9,30.3,19,20,0.6,3.7,13.3,20.7,2.6,3.2,5.8,0.158,-0.2,3.3,3.1,2.3
10714286,55,29,79,2018,12.1,0.562,0.606,0.178,1.4,7,4.1,16.1,1.3,0.5,12.4,17.8,2.1,2.1,4.2,0.099,1,-1.3,-0.2,0.9
5192000,14,28,79,1234,9.7,0.545,0.638,0.165,2.7,14.5,8.4,5.8,1.9,1.7,10.3,10.8,1,1.4,2.4,0.092,-1.8,0.3,-1.5,0.2
1312611,38,22,57,961,7.4,0.477,0.356,0.151,2,7.1,4.8,10.6,2.2,0.8,14.6,12.8,-0.3,0.9,0.6,0.031,-2.9,-0.4,-3.3,-0.3
5513514,42,29,11,334,12.3,0.53,0.504,0.143,5.4,9.4,7.4,13.8,2.6,1.2,16.5,19.6,0.1,0.3,0.4,0.057,0.4,0.3,0.7,0.2
1471382,41,25,78,1432,9.3,0.535,0.542,0.113,2.6,9,5.8,8.9,0.7,1.2,9.3,13.5,1.1,1.2,2.3,0.077,-0.9,-0.6,-1.5,0.2
1312611,27,23,77,1577,14.9,0.554,0.268,0.178,5.5,18.8,12.2,13.3,1.9,2,11,15.9,2.1,2.3,4.5,0.136,0.1,2.1,2.2,1.7
7590035,35,32,78,2170,8.4,0.537,0.692,0.145,4.6,17.4,11,4.6,1.8,0.9,13.3,10.3,1,2.8,3.8,0.083,-1.3,1.5,0.2,1.2
24773250,3,24,74,2349,18.4,0.601,0.357,0.145,4.7,18,11.4,10,2.4,1.4,7.1,18.4,4.9,3,7.9,0.161,2.5,1.1,3.6,3.3
2106470,23,29,53,740,15.5,0.632,0.106,0.333,4.9,23.9,15.1,9.5,1.2,2,13.5,16.3,1.2,1,2.2,0.143,-1.4,0.2,-1.3,0.1
10595505,36,31,14,121,4.5,0.423,0,0.75,6.5,26.1,16.6,2,0.4,1.3,19,9.4,-0.1,0.1,0,0.006,-7.4,-0.8,-8.2,-0.2
